Column,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number,Advanced Composition,Non-Western Cultures,US Minority Cultures,Western/Comparative Cultures,Literature & the Arts,Historical & Philosophical Perspectives,Physical Sciences,Life Sciences,Quantitative Reasoning 2,Quantitative Reasoning 1,Behavioral Sciences,Social Sciences,General Education
0,2023,Spring,2023-sp,AAS 100,Intro Asian American Studies,,US Minority Cultures,,,,Social Sciences,AAS,100,,,US Minority Cultures,,,,,,,,,Social Sciences,"Social Sciences,US Minority Cultures"
1,2023,Spring,2023-sp,AAS 105,Introduction to Arab American Studies,,US Minority Cultures,,,,,AAS,105,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
2,2023,Spring,2023-sp,AAS 120,Intro to Asian Am Pop Culture,,US Minority Cultures,,,,,AAS,120,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
3,2023,Spring,2023-sp,AAS 200,U.S. Race and Empire,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AAS,200,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
4,2023,Spring,2023-sp,AAS 201,US Racial & Ethnic Politics,,US Minority Cultures,,,,Social Sciences,AAS,201,,,US Minority Cultures,,,,,,,,,Social Sciences,"Social Sciences,US Minority Cultures"
5,2023,Spring,2023-sp,AAS 211,Asian Americans and the Arts,,US Minority Cultures,Literature & the Arts,,,,AAS,211,,,US Minority Cultures,,Literature & the Arts,,,,,,,,"US Minority Cultures,Literature & the Arts"
6,2023,Spring,2023-sp,AAS 215,US Citizenship Comparatively,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AAS,215,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
7,2023,Spring,2023-sp,AAS 246,Asian American Youth in Film,,US Minority Cultures,,,,Social Sciences,AAS,246,,,US Minority Cultures,,,,,,,,,Social Sciences,"Social Sciences,US Minority Cultures"
8,2023,Spring,2023-sp,AAS 258,Muslims in America,,US Minority Cultures,,,,Social Sciences,AAS,258,,,US Minority Cultures,,,,,,,,,Social Sciences,"Social Sciences,US Minority Cultures"
9,2023,Spring,2023-sp,AAS 260,Intro Asian American Theatre,,US Minority Cultures,,,,,AAS,260,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
10,2023,Spring,2023-sp,AAS 265,Politics of Hip Hop,,US Minority Cultures,,,,,AAS,265,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
11,2023,Spring,2023-sp,AAS 275,The Politics of Fashion,,US Minority Cultures,,,,,AAS,275,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
12,2023,Spring,2023-sp,AAS 281,Constructing Race in America,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AAS,281,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
13,2023,Spring,2023-sp,AAS 282,Feminist and Queer Activisms,,US Minority Cultures,,,,,AAS,282,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
14,2023,Spring,2023-sp,AAS 283,Asian American History,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AAS,283,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,"US Minority Cultures,Historical & Philosophical Perspectives"
15,2023,Spring,2023-sp,AAS 286,Asian American Literature,,US Minority Cultures,Literature & the Arts,,,,AAS,286,,,US Minority Cultures,,Literature & the Arts,,,,,,,,"US Minority Cultures,Literature & the Arts"
16,2023,Spring,2023-sp,AAS 287,Food and Asian Americans,,US Minority Cultures,,,,Social Sciences,AAS,287,,,US Minority Cultures,,,,,,,,,Social Sciences,"Social Sciences,US Minority Cultures"
17,2023,Spring,2023-sp,AAS 288,Global Islam and Feminisms,,Non-Western Cultures,,,,,AAS,288,,Non-Western Cultures,,,,,,,,,,,Non-Western Cultures
