Column,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number,Advanced Composition,Non-Western Cultures,US Minority Cultures,Western/Comparative Cultures,Literature & the Arts,Historical & Philosophical Perspectives,Physical Sciences,Life Sciences,Quantitative Reasoning 2,Quantitative Reasoning 1,Behavioral Sciences,Social Sciences,GeneralEducation
0,2023,Spring,2023-sp,AAS 100,Intro Asian American Studies,,US Minority Cultures,,,,Social Sciences,AAS,100,,,US Minority Cultures,,,,,,,,,Social Sciences,Social Sciences
0,2023,Spring,2023-sp,AAS 100,Intro Asian American Studies,,US Minority Cultures,,,,Social Sciences,AAS,100,,,,,,,,,,,,,US Minority Cultures
1,2023,Spring,2023-sp,AAS 105,Introduction to Arab American Studies,,US Minority Cultures,,,,Social Sciences,AAS,105,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
2,2023,Spring,2023-sp,AAS 120,Intro to Asian Am Pop Culture,,US Minority Cultures,,,,Social Sciences,AAS,120,,,US Minority Cultures,,,,,,,,,,US Minority Cultures
3,2023,Spring,2023-sp,AAS 200,U.S. Race and Empire,,US Minority Cultures,Historical & Philosophical Perspectives,,,Social Sciences,AAS,200,,,US Minority Cultures,,,Historical & Philosophical Perspectives,,,,,,,US Minority Cultures
3,2023,Spring,2023-sp,AAS 200,U.S. Race and Empire,,US Minority Cultures,Historical & Philosophical Perspectives,,,Social Sciences,AAS,200,,,,,,,,,,,,,Historical & Philosophical Perspectives
4,2023,Spring,2023-sp,AAS 201,US Racial & Ethnic Politics,,US Minority Cultures,Historical & Philosophical Perspectives,,,Social Sciences,AAS,201,,,US Minority Cultures,,,,,,,,,Social Sciences,Social Sciences
4,2023,Spring,2023-sp,AAS 201,US Racial & Ethnic Politics,,US Minority Cultures,Historical & Philosophical Perspectives,,,Social Sciences,AAS,201,,,,,,,,,,,,,US Minority Cultures
5,2023,Spring,2023-sp,AAS 211,Asian Americans and the Arts,,US Minority Cultures,Literature & the Arts,,,Social Sciences,AAS,211,,,US Minority Cultures,,Literature & the Arts,,,,,,,,US Minority Cultures
5,2023,Spring,2023-sp,AAS 211,Asian Americans and the Arts,,US Minority Cultures,Literature & the Arts,,,Social Sciences,AAS,211,,,,,,,,,,,,,Literature & the Arts
