,Year,Term,TermYear,Course,Course Title,ACP,CS,HUM,NAT,QR,SBS,Subject,Number
0,2023,Spring,2023-sp,AAS 100,Intro Asian American Studies,,US Minority Cultures,,,,Social Sciences,AAS,100
1,2023,Spring,2023-sp,AAS 105,Introduction to Arab American Studies,,US Minority Cultures,,,,,AAS,105
2,2023,Spring,2023-sp,AAS 120,Intro to Asian Am Pop Culture,,US Minority Cultures,,,,,AAS,120
3,2023,Spring,2023-sp,AAS 200,U.S. Race and Empire,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AAS,200
4,2023,Spring,2023-sp,AAS 201,US Racial & Ethnic Politics,,US Minority Cultures,,,,Social Sciences,AAS,201
5,2023,Spring,2023-sp,AAS 211,Asian Americans and the Arts,,US Minority Cultures,Literature & the Arts,,,,AAS,211
6,2023,Spring,2023-sp,AAS 215,US Citizenship Comparatively,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AAS,215
7,2023,Spring,2023-sp,AAS 246,Asian American Youth in Film,,US Minority Cultures,,,,Social Sciences,AAS,246
8,2023,Spring,2023-sp,AAS 258,Muslims in America,,US Minority Cultures,,,,Social Sciences,AAS,258
9,2023,Spring,2023-sp,AAS 260,Intro Asian American Theatre,,US Minority Cultures,,,,,AAS,260
10,2023,Spring,2023-sp,AAS 265,Politics of Hip Hop,,US Minority Cultures,,,,,AAS,265
11,2023,Spring,2023-sp,AAS 275,The Politics of Fashion,,US Minority Cultures,,,,,AAS,275
12,2023,Spring,2023-sp,AAS 281,Constructing Race in America,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AAS,281
13,2023,Spring,2023-sp,AAS 282,Feminist and Queer Activisms,,US Minority Cultures,,,,,AAS,282
14,2023,Spring,2023-sp,AAS 283,Asian American History,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AAS,283
15,2023,Spring,2023-sp,AAS 286,Asian American Literature,,US Minority Cultures,Literature & the Arts,,,,AAS,286
16,2023,Spring,2023-sp,AAS 287,Food and Asian Americans,,US Minority Cultures,,,,Social Sciences,AAS,287
17,2023,Spring,2023-sp,AAS 288,Global Islam and Feminisms,,Non-Western Cultures,,,,,AAS,288
18,2023,Spring,2023-sp,AAS 297,Asian Families in America,,US Minority Cultures,,,,Social Sciences,AAS,297
19,2023,Spring,2023-sp,AAS 300,"Theories of Race, Gender, and Sexuality",Advanced Composition,,,,,,AAS,300
20,2023,Spring,2023-sp,AAS 310,Race and Cultural Diversity,Advanced Composition,US Minority Cultures,,,,,AAS,310
21,2023,Spring,2023-sp,AAS 370,"Immigration, Law, and Rights",Advanced Composition,,,,,,AAS,370
22,2023,Spring,2023-sp,AAS 402,Asian American Education,Advanced Composition,US Minority Cultures,,,,,AAS,402
23,2023,Spring,2023-sp,ABE 152,Water in the Global Environment,,Non-Western Cultures,,Physical Sciences,,,ABE,152
24,2023,Spring,2023-sp,ABE 232,Context in International Interventions,,Non-Western Cultures,,,,Social Sciences,ABE,232
25,2023,Spring,2023-sp,ABE 469,Industry-Linked Design Project,Advanced Composition,,,,,,ABE,469
26,2023,Spring,2023-sp,ACE 100,Introduction to Applied Microeconomics,,,,,,Social Sciences,ACE,100
27,2023,Spring,2023-sp,ACE 210,Environmental Economics,,,,,,Social Sciences,ACE,210
28,2023,Spring,2023-sp,ACE 251,The World Food Economy,,Non-Western Cultures,,,,Social Sciences,ACE,251
29,2023,Spring,2023-sp,ACE 254,Economic Systems in Africa,,Non-Western Cultures,,,,Social Sciences,ACE,254
30,2023,Spring,2023-sp,ACE 255,Economics of Food and Environmental Justice,,US Minority Cultures,,,,Social Sciences,ACE,255
31,2023,Spring,2023-sp,ACE 262,Applied Statistical Methods and Data Analytics I,,,,,Quantitative Reasoning 1,,ACE,262
32,2023,Spring,2023-sp,ACES 102,Intro Sustainable Food Systems,,,,Life Sciences,,,ACES,102
33,2023,Spring,2023-sp,ACES 179,History of Ag in IL Since 1860,,US Minority Cultures,Historical & Philosophical Perspectives,,,,ACES,179
34,2023,Spring,2023-sp,ADV 150,Introduction to Advertising,,,,,,Social Sciences,ADV,150
35,2023,Spring,2023-sp,ADV 175,Diversity in Advertising,,US Minority Cultures,,,,,ADV,175
36,2023,Spring,2023-sp,ADV 200,Data Literacy,,,,,Quantitative Reasoning 1,,ADV,200
37,2023,Spring,2023-sp,ADV 305,Advertising Technology and the Digital World,,,,,,Social Sciences,ADV,305
38,2023,Spring,2023-sp,ADV 312,Advertising History,,,Historical & Philosophical Perspectives,,,,ADV,312
39,2023,Spring,2023-sp,ADV 393,Advertising and Society,,,,,,Social Sciences,ADV,393
40,2023,Spring,2023-sp,ADV 476,Global Advertising,,Western/Comparative Cultures,,,,Social Sciences,ADV,476
41,2023,Spring,2023-sp,AE 443,Aerospace Systems Design II,Advanced Composition,,,,,,AE,443
42,2023,Spring,2023-sp,AFAS 120,Intro to US Armed Forces,,,Historical & Philosophical Perspectives,,,,AFAS,120
43,2023,Spring,2023-sp,AFRO 100,Intro to African American St,,US Minority Cultures,,,,Social Sciences,AFRO,100
44,2023,Spring,2023-sp,AFRO 101,"Black America, 1619-Present",,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,101
45,2023,Spring,2023-sp,AFRO 103,Black Women in the Diaspora,,US Minority Cultures,,,,,AFRO,103
46,2023,Spring,2023-sp,AFRO 105,Black Literature in America,,US Minority Cultures,Literature & the Arts,,,,AFRO,105
47,2023,Spring,2023-sp,AFRO 106,Hist Arch Americas,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,106
48,2023,Spring,2023-sp,AFRO 132,African American Music,,US Minority Cultures,Literature & the Arts,,,,AFRO,132
49,2023,Spring,2023-sp,AFRO 134,"Religion, Race, and Resistance",,US Minority Cultures,,,,,AFRO,134
50,2023,Spring,2023-sp,AFRO 201,US Racial & Ethnic Politics,,US Minority Cultures,,,,Social Sciences,AFRO,201
51,2023,Spring,2023-sp,AFRO 211,Intro to African-American Film,,US Minority Cultures,,,,,AFRO,211
52,2023,Spring,2023-sp,AFRO 212,Intro African American Theat,,US Minority Cultures,,,,,AFRO,212
53,2023,Spring,2023-sp,AFRO 215,US Citizenship Comparatively,,US Minority Cultures,Historical & Philosophical Perspectives,,,,AFRO,215
54,2023,Spring,2023-sp,AFRO 221,History of the Prison,,Western/Comparative Cultures,Historical & Philosophical Perspectives,,,,AFRO,221
55,2023,Spring,2023-sp,AFRO 224,Humanist Persp of Afro-Am Exp,,US Minority Cultures,Literature & the Arts,,,,AFRO,224
56,2023,Spring,2023-sp,AFRO 228,Hip Hop Music: History and Culture,,US Minority Cultures,Literature & the Arts,,,,AFRO,228
57,2023,Spring,2023-sp,AFRO 231,Lang Diff Dis: American Persp,,US Minority Cultures,,,,,AFRO,231
58,2023,Spring,2023-sp,AFRO 234,Black Religious Imaginations,,US Minority Cultures,,,,,AFRO,234
59,2023,Spring,2023-sp,AFRO 243,Pan Africanism,,Non-Western Cultures,,,,,AFRO,243
